driver,mode,partner,delta,fdr,cohens_d,codep_r,pathway,broadly_ess
BRAF,ACT,UBE2D3,-0.2035,0.07994,-0.483,0.025,,0.673
BRAF,ACT,CTNNB1,-0.1875,0.08008,-0.527,0.132,,0.104
BRAF,ACT,NCAPD3,-0.1914,0.0876,-0.471,0.17,,0.768
BRAF,ACT,ITGAV,-0.1897,0.08861,-0.42,0.095,,0.526
BRAF,ACT,PDS5A,-0.152,0.10241,-0.467,0.087,,0.218
BRAF,ACT,TPI1,-0.1968,0.14998,-0.509,0.099,,0.782
BRAF,ACT,PPP2R1A,-0.2165,0.15058,-0.453,0.108,,0.779
BRAF,ACT,RPL35A,-0.2411,0.15163,-0.752,0.088,,1.0
BRAF,ACT,EGLN1,-0.1658,0.1524,-0.549,0.127,,0.118
BRAF,ACT,FERMT2,-0.2037,0.16759,-0.394,0.126,,0.468
BRAF,ACT,USP7,-0.2078,0.17558,-0.499,0.14,,0.784
