driver,partner,mode,n_mut_total,n_wt_total,L1_n_mut,L1_n_wt,L1_delta,L1_p,L1_cohens_d,L2_msipurge_p,L2_msipurge_delta,L2_msipurge_n_mut,L3_tp53_p,L3_tp53_delta,L3_tp53_n_mut,L4_loo_max_p,L4_loo_n_iter,L5_top_lineage,L5_frac_in_top,L5_within_lineage_p,L5_within_lineage_n_mut,flag_lineage_confined,flag_broadly_essential,broadly_essential_frac,survives_battery,reclassification,mechanism_family_expansion,L1_fdr
KMT2D,SDHC,LOF,69,980,69,980,-0.1938853714119636,4.4399513126406945e-05,-0.5853932984725645,0.0005597249586864502,-0.18017510844219298,61,0.00013293192191664896,-0.19926729314921632,48,8.951724613745496e-05,69,Colorectal Adenocarcinoma,0.145,0.19312948409210845,10,False,True,0.842,False,broadly_essential,True,4.952253387176159e-05
KMT2D,PELO,LOF,69,980,69,980,-0.26979651952647377,4.777107681884402e-05,-0.6125336596864251,0.003813368034715454,-0.19250791280037072,61,0.10062458135775582,-0.12536202901219828,48,9.530219682950735e-05,69,Colorectal Adenocarcinoma,0.145,4.988279818370186e-06,10,False,True,0.775,False,attenuates_in_tp53_strat; broadly_essential,True,5.130967510172135e-05
CIC,ZNF629,LOF,11,1119,11,1119,-0.26872630668724773,1.2222958241740162e-06,-1.9052985231030706,1.4723266975026777e-05,-0.27327365712749285,9,6.3196808603255404e-06,-0.2831344687262862,9,5.3677398925802885e-06,11,Colorectal Adenocarcinoma,0.364,1.0,4,False,False,0.006,True,none,True,3.2224162637314973e-06
NRAS,SHOC2,ACT,37,1133,37,1133,-0.38420895072879624,1.1088371730967565e-09,-1.5143565419782443,1.2078561142057263e-09,-0.3831818447630042,37,7.113474544044497e-06,-0.38640234646643234,21,3.6794481252817038e-09,37,Melanoma,0.135,2.2043368817562366e-05,5,False,False,0.16,True,none,True,8.039069504951484e-09
NRAS,RAF1,ACT,37,1133,37,1133,-0.3105890125977057,1.0192323662005573e-08,-1.192997076750096,1.0749948354515701e-08,-0.3098428425824642,37,8.94213058112789e-05,-0.3333229720382146,21,3.241744095713303e-08,37,Melanoma,0.135,1.2644165869972322e-05,5,False,False,0.119,True,none,True,4.9262897699693604e-08
NRAS,N6AMT1,ACT,37,1133,37,1133,-0.2000980356370437,4.0567118415181164e-05,-0.694192351680044,3.268993268193734e-05,-0.20290260029567558,37,5.297313429207136e-05,-0.24304100911326887,21,9.95956877912969e-05,37,Melanoma,0.135,0.1029118730731634,5,False,False,0.361,True,none,True,4.7057857361610154e-05
BRAF,MAPK1,ACT,52,1101,52,1101,-0.5062331322431413,3.824393119114809e-16,-1.7787544796402963,1.2158002613335227e-15,-0.518747156756485,50,1.7297156664611833e-07,-0.3852253802450639,26,1.336670237569158e-15,52,Melanoma,0.385,0.019793711647316338,20,False,False,0.143,True,none,True,1.1090740045432946e-14
BRAF,MAP2K1,ACT,52,1101,52,1101,-0.2781876674177468,1.3054053405734915e-12,-1.5228493381099943,8.590418489782709e-12,-0.279472553717594,50,5.565400065489345e-08,-0.33175583903277295,26,4.174884775075521e-12,52,Melanoma,0.385,0.360997154959311,20,False,False,0.034,True,none,True,1.8928377438315626e-11
BRAF,ELAVL1,ACT,52,1101,52,1101,-0.1880016987921741,1.201677653310317e-07,-0.8360968926950977,9.745067723663764e-08,-0.19202236319353672,50,0.0005766272988551606,-0.16722469900208814,26,3.1672352496637694e-07,52,Melanoma,0.385,0.3301456153138278,20,False,False,0.183,True,none,True,4.356081493249899e-07
BRAF,CYB5R4,ACT,52,1101,52,1101,-0.17003646000878386,2.4093938498585395e-07,-0.7866349848365488,9.442008394167435e-07,-0.16541493864306256,50,5.731956411565835e-05,-0.18373373228206458,26,6.218056194870783e-07,52,Melanoma,0.385,0.00024957970991595257,20,False,False,0.143,True,none,True,7.763602405099738e-07
BRAF,SYNCRIP,ACT,52,1101,52,1101,-0.161049569768618,1.759863804634304e-06,-0.7049819566592259,2.6048802872257665e-06,-0.14098718866801468,50,0.003299503512574313,-0.14566989306971417,26,4.330198726279346e-06,52,Melanoma,0.385,0.5637392330056937,20,False,False,0.171,True,none,True,3.925850025722679e-06
BRAF,PEA15,ACT,52,1101,52,1101,-0.21979970935262513,2.9481621305717363e-06,-1.3649899025076324,3.2638787459923445e-06,-0.2182954427773897,50,0.04111774718753427,-0.13808950939261552,26,7.1345020176023514e-06,52,Melanoma,0.385,0.06327807751573312,20,False,False,0.016,True,none,True,5.343543861661272e-06
