driver,mode,partner,delta,fdr,cohens_d,codep_r,pathway,broadly_ess,known_partner
KRAS,ACT,RAF1,-0.2009,0.0,-0.775,0.407,,0.119,False
KRAS,ACT,DOCK5,-0.1788,2e-05,-0.864,0.423,,0.053,False
KRAS,ACT,GMPS,-0.2956,4e-05,-0.595,0.15,,0.807,False
KRAS,ACT,RAB10,-0.2209,4e-05,-0.608,0.284,,0.359,False
KRAS,ACT,DDX3X,-0.241,4e-05,-0.562,0.193,,0.811,False
KRAS,ACT,IMPDH2,-0.174,7e-05,-0.545,0.161,,0.551,False
KRAS,ACT,DBF4,-0.2212,7e-05,-0.643,0.246,,0.879,False
KRAS,ACT,CFLAR,-0.2767,0.00034,-0.499,0.163,,0.52,False
KRAS,ACT,KRTAP4-11,-0.2029,0.00038,-0.599,0.088,,0.358,False
KRAS,ACT,PCYT1A,-0.1697,0.00074,-0.494,0.129,,0.812,False
KRAS,ACT,SCD,-0.238,0.00077,-0.55,0.152,,0.754,False
KRAS,ACT,UROD,-0.2932,0.00087,-0.622,0.167,,0.518,False
KRAS,ACT,MVK,-0.1817,0.00105,-0.51,0.096,,0.793,False
KRAS,ACT,WNK1,-0.1676,0.00141,-0.402,0.167,,0.755,False
KRAS,ACT,DDX39B,-0.1523,0.00353,-0.419,0.134,,0.76,False
KRAS,ACT,YRDC,-0.3423,0.00382,-0.415,0.125,,0.838,False
KRAS,ACT,TRPM7,-0.174,0.00394,-0.412,0.192,,0.643,False
KRAS,ACT,ADSL,-0.1956,0.00865,-0.346,0.088,,0.699,False
KRAS,ACT,MT1E,-0.1614,0.00924,-0.504,0.1,,0.355,False
KRAS,ACT,ATP6AP1,-0.152,0.01184,-0.37,0.082,,0.89,False
KRAS,ACT,KLF5,-0.1826,0.01364,-0.459,0.226,,0.246,False
KRAS,ACT,NXT1,-0.1794,0.01438,-0.359,0.067,,0.372,False
KRAS,ACT,SCAP,-0.2543,0.01513,-0.384,0.087,,0.728,False
KRAS,ACT,SNRPD3,-0.2763,0.0242,-0.431,0.235,,1.0,False
KRAS,ACT,ACO2,-0.1539,0.02522,-0.341,0.096,,0.654,False
KRAS,ACT,PPP2CA,-0.2268,0.03444,-0.443,0.104,,0.826,False
KRAS,ACT,PELO,-0.2113,0.04496,-0.48,0.072,,0.775,False
KRAS,ACT,BCL2L1,-0.1835,0.0871,-0.305,0.158,,0.846,False
NF1,LOF,PRKAR1A,-0.2354,0.23984,-0.904,0.022,,0.12,False
TP53,LOF,KRTAP4-11,-0.1546,0.003,-0.524,-0.073,,0.358,False
TP53,LOF,PELO,-0.1541,0.03517,-0.363,0.189,,0.775,False
TP53,LOF,ATP1A1,-0.1578,0.05106,-0.289,0.101,,0.806,False
TP53,LOF,FCGR1A,-0.1513,0.05821,-0.456,0.13,,0.828,False
TP53,LOF,SNRPD3,-0.182,0.14553,-0.267,0.081,,1.0,False
TP53,LOF,TYMS,-0.1928,0.19468,-0.307,0.136,,0.468,False
