driver,partner,mode,n_mut_total,n_wt_total,L1_n_mut,L1_n_wt,L1_delta,L1_p,L1_cohens_d,L2_msipurge_p,L2_msipurge_delta,L2_msipurge_n_mut,L3_tp53_p,L3_tp53_delta,L3_tp53_n_mut,L4_loo_max_p,L4_loo_n_iter,L5_top_lineage,L5_frac_in_top,L5_within_lineage_p,L5_within_lineage_n_mut,flag_lineage_confined,flag_broadly_essential,broadly_essential_frac,survives_battery,reclassification,known,L1_fdr
ARID1A,RPL22L1,LOF,65,1061,65,1061,-0.22189859995603714,1.0377871409912513e-05,-1.0863758845028362,0.0002539396358229844,-0.18061897604446803,60,0.0010387519992494764,-0.1320202016854409,43,2.237609154804947e-05,65,Ovarian Epithelial Tumor,0.154,0.17685268954935368,10,False,False,0.075,True,none,False,2.1274636390320652e-05
ARID1A,SDHC,LOF,65,1061,65,1061,-0.18955357890762692,6.832244690554216e-05,-0.5658097408194508,0.0008985604470725619,-0.16509390870674645,60,0.009474817051234465,-0.13919225498433208,43,0.00013856793496805852,65,Ovarian Epithelial Tumor,0.154,0.009492068407979328,10,False,True,0.842,False,broadly_essential,False,0.00010374890085656401
ARID1A,GMPS,LOF,65,1061,65,1061,-0.25522456440611974,8.471070376388443e-05,-0.5089172123899147,0.000466304725817743,-0.23132657622572594,60,0.02636053572090997,-0.1642509166323285,43,0.00017028948896947543,65,Ovarian Epithelial Tumor,0.154,0.04138526306733469,10,False,True,0.807,False,broadly_essential,False,0.0001157712951439754
ARID1A,KRTAP4-11,LOF,65,1061,65,1046,-0.16743013877596635,0.00010507846175686237,-0.4895865013483486,0.0006643817923226244,-0.14861846951539415,60,0.45329199452012586,0.0005229049172987832,43,0.0002092482050569092,65,Ovarian Epithelial Tumor,0.154,0.18840682952213766,10,False,False,0.358,True,attenuates_in_tp53_strat,False,0.0001346317791259799
ARID1A,ADSL,LOF,65,1061,65,1061,-0.2801920971353016,0.00011178200752267619,-0.49640768281803627,0.0014721976111218488,-0.22171668068433392,60,0.007817741372976389,-0.20541192622037852,43,0.00022255346518603857,65,Ovarian Epithelial Tumor,0.154,0.028104833915595557,10,False,True,0.699,False,broadly_essential,False,0.00013888067601302193
ARID1A,YWHAZ,LOF,65,1061,40,288,-0.15751695217686157,0.00019078464785244806,-0.570502266496498,0.002014224018942384,-0.1405348092478076,35,0.0069383632017608115,-0.14050050121526503,24,0.00040059161695966586,65,Ovarian Epithelial Tumor,0.154,0.10770496729306797,8,False,True,0.725,False,broadly_essential,False,0.00020584659373553606
STK11,HDAC4,LOF,16,1143,16,1143,-0.20558237760252993,2.203283375515239e-05,-1.3863898127140009,2.3253938856450956e-05,-0.2052357206630704,16,0.00024130004214245067,-0.19335209267122072,10,7.895494520115445e-05,16,Non-Small Cell Lung Cancer,0.625,0.001995394178643561,10,False,False,0.015,True,none,False,3.763942433171867e-05
SMARCA4,ACSL3,LOF,30,1093,30,1093,-0.30093819727182547,6.542506656754569e-07,-0.9133125014058928,1.139990081901708e-06,-0.30343251742044136,29,1.7576624869336584e-06,-0.31828062162530857,25,2.0121894829464494e-06,30,Non-Small Cell Lung Cancer,0.433,0.007736222620948702,13,False,False,0.234,True,none,False,2.0634059455918256e-06
SMARCA4,ATP5F1C,LOF,30,1093,30,1093,-0.23274247906339907,1.4650170727415002e-05,-0.81453491965296,9.067063698616575e-06,-0.24215365233732133,29,0.00026846425066508645,-0.21122520172761794,25,4.004197894624019e-05,30,Non-Small Cell Lung Cancer,0.433,0.0012373844691967845,13,False,True,0.581,False,broadly_essential,False,2.7582020087482948e-05
SMARCA4,GLE1,LOF,30,1093,30,1093,-0.15591254135056742,5.081091358434334e-05,-0.7927494082014697,5.289956294864903e-05,-0.15971202477983948,29,7.264816345591237e-05,-0.1751309458419963,25,0.00013575613614468516,30,Non-Small Cell Lung Cancer,0.433,0.0015424147239791893,13,False,True,0.735,False,broadly_essential,False,8.332989827832308e-05
SMARCA4,BORA,LOF,30,1093,30,1093,-0.19886090539876367,0.0001311789461577664,-0.6989079354830913,0.00018882513802879767,-0.20023804196487438,29,0.0003233025041452595,-0.2126362354918081,25,0.00033751190217649597,30,Non-Small Cell Lung Cancer,0.433,0.30306323524676526,13,False,True,0.743,False,broadly_essential,False,0.00014928404184656445
SMARCA4,ATP5PO,LOF,30,1093,30,1093,-0.1712222115501184,0.0001311789461577664,-0.8571445169168975,5.4704221785556625e-05,-0.18181637896972308,29,0.000400383497571654,-0.17736687989070005,25,0.00034111263934433965,30,Non-Small Cell Lung Cancer,0.433,0.0024507270743653053,13,False,False,0.248,True,none,False,0.00014928404184656445
SMARCA4,CIT,LOF,30,1093,30,1093,-0.16772316542827315,0.00013471974508104598,-0.6471557112729661,3.0135678104524398e-05,-0.1878787625439855,29,0.0007415254046344746,-0.16602524030220078,25,0.0003325302061666986,30,Non-Small Cell Lung Cancer,0.433,0.008226475256451777,13,False,False,0.475,True,none,False,0.00014928404184656445
VHL,PAX8,LOF,14,1160,14,1160,-0.5639784531998921,2.623605170549818e-06,-1.9361369824752952,2.621640343950728e-06,-0.5636303298707386,14,0.0002621124171974791,-0.46308470284223013,9,1.0366322754272266e-05,14,Renal Cell Carcinoma,0.5,0.26645890341542516,7,False,False,0.072,True,none,False,6.327518352502503e-06
RB1,E2F3,LOF,47,1078,47,1078,-0.3562320482459645,1.9047703790116394e-09,-1.296021623492663,2.0810590321301384e-09,-0.3554640264322886,47,8.000855332547884e-10,-0.39035330046746297,40,5.648404283959125e-09,47,Lung Neuroendocrine Tumor,0.255,0.24435893659263475,12,False,False,0.126,True,none,False,1.95238963848693e-08
RB1,YEATS2,LOF,47,1078,47,1078,-0.1808312683604194,5.337500892179405e-08,-0.8626234501056569,6.564499336919387e-08,-0.17943779584783237,47,5.5662306589457213e-08,-0.20405739024256503,40,1.4827185548926854e-07,47,Lung Neuroendocrine Tumor,0.255,0.92185614416616,12,False,True,0.537,False,broadly_essential,False,2.188375365793556e-07
RB1,CKS1B,LOF,47,1078,38,976,-0.3182171579362557,3.806229091298986e-07,-1.0976907789702524,4.2536279492611826e-07,-0.31716071300310855,38,6.398793754362199e-07,-0.35610336729176084,33,1.0977711689499347e-06,47,Lung Neuroendocrine Tumor,0.255,0.3104640719115572,12,False,True,0.768,False,broadly_essential,False,1.4186853885750765e-06
RB1,CCNE1,LOF,47,1078,47,1078,-0.15692988581664152,1.4825874951962171e-06,-0.6149544945951488,1.4993385997312236e-06,-0.1567181530021949,47,2.5293072745361116e-05,-0.1442141368979906,40,3.7724199604939266e-06,47,Lung Neuroendocrine Tumor,0.255,0.4868496448684232,12,False,False,0.074,True,none,False,4.052405820202994e-06
RB1,UBE2Q1,LOF,47,1078,47,1078,-0.16894248882344376,1.4800108339624997e-05,-0.7499959190959673,1.6240640378223536e-05,-0.16820016784628133,47,7.823680442330813e-06,-0.1865446227733259,40,3.540260661715873e-05,47,Lung Neuroendocrine Tumor,0.255,0.12426733958652902,12,False,False,0.162,True,none,False,2.7582020087482948e-05
KRAS,CTNNB1,ACT,104,1070,104,1070,-0.30218680136508425,2.402426332693356e-12,-0.8473510101497104,3.1597719906903376e-11,-0.2812730162096235,100,9.352392297808761e-08,-0.2843142913641516,74,5.778849259443467e-12,104,Non-Small Cell Lung Cancer,0.24,0.3753038069366108,25,False,False,0.104,True,none,False,9.849947964042759e-11
KRAS,TCF7L2,ACT,104,1070,104,1070,-0.21372672012325541,2.275130947489783e-11,-0.8718570399942214,4.568098621725386e-11,-0.209652381583147,100,6.598702741086686e-06,-0.2101209559660988,74,5.338708021938812e-11,104,Non-Small Cell Lung Cancer,0.24,0.04350024710324566,25,False,False,0.071,True,none,False,4.664018442354055e-10
KRAS,RAF1,ACT,104,1070,104,1070,-0.20089075642986612,6.686052870356188e-11,-0.774596847963659,5.919185718401168e-11,-0.2080274191382716,100,1.2688428091753147e-07,-0.21989921758199218,74,1.5428555954865915e-10,104,Non-Small Cell Lung Cancer,0.24,0.6091444155881901,25,False,False,0.119,True,none,False,9.137605589486791e-10
KRAS,DOCK5,ACT,104,1070,104,1070,-0.17876236340744875,5.083357222700454e-09,-0.8636487854043929,5.036333413888332e-09,-0.1853450476167769,100,9.352392297808761e-08,-0.21832642249640383,74,1.1000104595869405e-08,104,Non-Small Cell Lung Cancer,0.24,0.33586153901712434,25,False,False,0.053,True,none,False,4.168352922614372e-08
KRAS,GMPS,ACT,104,1070,104,1070,-0.29563667061841126,1.0768871283431727e-08,-0.594874322365883,7.463591185535848e-08,-0.28074655286271866,100,1.0346382914874583e-05,-0.2675898973537869,74,2.2968221781772406e-08,104,Non-Small Cell Lung Cancer,0.24,0.9106389980278911,25,False,True,0.807,False,broadly_essential,False,7.358728710345014e-08
KRAS,RAB10,ACT,104,1070,104,1070,-0.22088345115855762,1.5115095746565338e-08,-0.6082334607416767,6.663121009832927e-08,-0.21466304806825837,100,2.0797629389608856e-06,-0.22027767830509098,74,3.183152087405063e-08,104,Non-Small Cell Lung Cancer,0.24,0.8339304510389454,25,False,False,0.359,True,none,False,8.853127508702555e-08
KRAS,DDX3X,ACT,104,1070,104,1070,-0.24097954666416022,2.0291620050909944e-08,-0.5623803954066201,7.414127745158739e-09,-0.25366859940867115,100,2.335544005929738e-05,-0.23633590848726282,74,4.287392164056552e-08,104,Non-Small Cell Lung Cancer,0.24,0.2266959131300898,25,False,True,0.811,False,broadly_essential,False,1.0399455276091347e-07
KRAS,IMPDH2,ACT,104,1070,104,1070,-0.1740334865350821,4.7850825293363935e-08,-0.5454004206789571,3.246958519828258e-07,-0.1633321914114383,100,2.998829544389934e-06,-0.17469773636818664,74,9.937761528161497e-08,104,Non-Small Cell Lung Cancer,0.24,0.8084006768709542,25,False,True,0.551,False,broadly_essential,False,2.1798709300310236e-07
TP53,KRTAP4-11,LOF,164,712,163,699,-0.15458286871480076,3.732453115396705e-06,-0.5236884460819029,5.54376606203974e-06,-0.1479966615857365,160,1.0,,163,6.054814862109742e-06,164,Head and Neck Squamous Cell Carcinoma,0.146,6.60581959101755e-05,24,False,False,0.358,True,attenuates_in_tp53_strat,False,8.054240933224468e-06
TP53,PELO,LOF,164,712,164,712,-0.15412928278930138,0.00036989303697153975,-0.3633409761198352,0.0007381148216669598,-0.1342143736038771,161,1.0,,164,0.0005485744068353482,164,Head and Neck Squamous Cell Carcinoma,0.146,0.034508820493342224,24,False,True,0.775,False,attenuates_in_tp53_strat; broadly_essential,False,0.00038886191066238795
TP53,ATP1A1,LOF,164,712,164,712,-0.15780584469852765,0.0006908613430288327,-0.2895124963838909,0.0010372535030508524,-0.15423485192295805,161,1.0,,164,0.0010083530348156964,164,Head and Neck Squamous Cell Carcinoma,0.146,0.022961845047281645,24,False,True,0.806,False,attenuates_in_tp53_strat; broadly_essential,False,0.0007081328766045536
TP53,FCGR1A,LOF,164,712,79,101,-0.15129469816221142,0.0010004610519166147,-0.4555012605371698,0.002018606804446295,-0.14719091932190576,76,1.0,,79,0.0014814466302503506,164,Head and Neck Squamous Cell Carcinoma,0.146,1.0,18,False,True,0.828,False,attenuates_in_tp53_strat; broadly_essential,False,0.0010004610519166147
