ModelID,OncotreeLineage,mbd4_status,DRUG_NAME,rnf_low_parp_high_expr_proxy,rnf_low_parp_high_proxy,z,auc,n
ACH-000363,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.795553,0.90434,1
ACH-000910,Breast,WT_no_MBD4_record,Niraparib,True,False,-0.788619,0.904974,1
ACH-000151,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.773267,0.974015,1
ACH-000336,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-0.76968,0.931177,1
ACH-000803,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.758685,0.913428,1
ACH-000496,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.705386,0.931845,1
ACH-000856,Breast,WT_no_MBD4_record,Niraparib,False,False,-0.701477,0.909223,1
ACH-000438,Lung,WT_no_MBD4_record,Niraparib,False,True,-0.698874,0.878843,1
ACH-000768,Breast,WT_no_MBD4_record,Niraparib,False,False,-0.693175,0.91846,1
ACH-000219,Skin,WT_no_MBD4_record,Niraparib,False,False,-0.681633,0.915763,1
ACH-000481,Lung,WT_no_MBD4_record,Niraparib,True,False,-0.674744,0.915492,1
ACH-000389,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-0.662202,0.934663,1
ACH-000817,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.661989,0.955879,1
ACH-000929,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.654765,0.931894,1
ACH-000247,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,True,-0.633363,0.884164,1
ACH-000997,Bowel,WT_no_MBD4_record,Niraparib,False,False,-0.628553,0.922466,1
ACH-000378,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.627311,0.90598,1
ACH-000486,Bladder/Urinary Tract,WT_no_MBD4_record,Niraparib,False,False,-0.620173,0.932394,1
ACH-001489,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.610958,0.930979,1
ACH-000099,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-0.610677,0.927272,1
ACH-000399,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.600684,0.911017,1
ACH-000974,Uterus,WT_no_MBD4_record,Niraparib,False,False,-0.596487,0.936168,1
ACH-000335,Pleura,WT_no_MBD4_record,Niraparib,False,False,-0.593977,0.919012,1
ACH-000301,Myeloid,WT_no_MBD4_record,Niraparib,False,False,-0.593362,0.964664,1
ACH-000048,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,-0.591025,0.939185,1
ACH-000104,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.587878,0.951006,1
ACH-001680,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-0.587828,0.95142,1
ACH-000624,Breast,WT_no_MBD4_record,Niraparib,False,True,-0.584105,0.946695,1
ACH-002215,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.581328,0.979783,1
ACH-001400,Vulva/Vagina,WT_no_MBD4_record,Niraparib,False,False,-0.56689,0.939792,1
ACH-002283,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-0.557568,0.912915,1
ACH-000846,Head and Neck,WT_no_MBD4_record,Niraparib,False,False,-0.542067,0.933335,1
ACH-000318,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,-0.534056,0.938764,1
ACH-000958,Bowel,WT_no_MBD4_record,Niraparib,False,False,-0.533056,0.906683,1
ACH-000866,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.52778,0.938166,1
ACH-000688,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,-0.525501,0.928792,1
ACH-000311,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.519641,0.94734,1
ACH-000754,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-0.519404,0.960804,1
ACH-000966,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,-0.513781,0.90072,1
ACH-000187,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.507011,0.950051,1
ACH-000024,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.48076,0.969867,1
ACH-000196,Breast,WT_no_MBD4_record,Niraparib,False,True,-0.475538,0.907816,1
ACH-000906,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,-0.45447,0.925129,1
ACH-000740,Head and Neck,WT_no_MBD4_record,Niraparib,False,False,-0.445455,0.950563,1
ACH-000832,Head and Neck,WT_no_MBD4_record,Niraparib,False,False,-0.421726,0.927074,1
ACH-000221,Liver,WT_no_MBD4_record,Niraparib,False,False,-0.420719,0.927774,1
ACH-000639,Lung,WT_no_MBD4_record,Niraparib,False,True,-0.406523,0.958736,1
ACH-000729,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.398925,0.949087,1
ACH-000376,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-0.388295,0.927155,1
ACH-000977,Prostate,WT_no_MBD4_record,Niraparib,False,False,-0.383537,0.92616,1
ACH-000506,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.3818,0.938824,1
ACH-000400,Bowel,WT_no_MBD4_record,Niraparib,False,False,-0.373835,0.930692,1
ACH-000411,Kidney,WT_no_MBD4_record,Niraparib,False,False,-0.36992,0.928562,1
ACH-000493,Liver,WT_no_MBD4_record,Niraparib,False,False,-0.368949,0.917504,1
ACH-000075,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-0.359109,0.924088,1
ACH-000810,Skin,WT_no_MBD4_record,Niraparib,False,False,-0.348002,0.93405,1
ACH-000343,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.337746,0.942853,1
ACH-000919,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,-0.31992,0.940122,1
ACH-000679,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,-0.302211,0.920901,1
ACH-000207,Head and Neck,WT_no_MBD4_record,Niraparib,False,False,-0.291674,0.949418,1
ACH-000943,Bowel,WT_no_MBD4_record,Niraparib,False,False,-0.280885,0.954262,1
ACH-000447,Lung,WT_no_MBD4_record,Niraparib,False,True,-0.267454,0.899996,1
ACH-000062,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.255815,0.952545,1
ACH-000948,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,-0.254924,0.946831,1
ACH-000429,Kidney,WT_no_MBD4_record,Niraparib,False,False,-0.254235,0.937225,1
ACH-000769,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.237273,0.935571,1
ACH-000007,Bowel,WT_no_MBD4_record,Niraparib,False,True,-0.225509,0.937943,1
ACH-000827,Skin,WT_no_MBD4_record,Niraparib,False,False,-0.224232,0.938819,1
ACH-000132,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,-0.219072,0.935006,1
ACH-000814,Skin,WT_no_MBD4_record,Niraparib,False,False,-0.209253,0.929131,1
ACH-000440,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,-0.202832,0.950262,1
ACH-000880,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,-0.200035,0.953501,1
ACH-000652,Pancreas,WT_no_MBD4_record,Niraparib,False,False,-0.187081,0.912704,1
ACH-000714,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.175051,0.966317,1
ACH-000628,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.161518,0.932468,1
ACH-000145,Soft Tissue,WT_no_MBD4_record,Niraparib,False,False,-0.151674,0.946383,2
ACH-000478,Liver,WT_no_MBD4_record,Niraparib,False,False,-0.150303,0.918864,1
ACH-000322,Skin,WT_no_MBD4_record,Niraparib,False,False,-0.133126,0.954764,1
ACH-000957,Bowel,WT_no_MBD4_record,Niraparib,False,False,-0.119665,0.931402,1
ACH-000359,Bone,WT_no_MBD4_record,Niraparib,False,False,-0.115875,0.94363,1
ACH-001526,Bone,WT_no_MBD4_record,Niraparib,False,False,-0.107498,0.963479,1
ACH-000698,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.105597,0.950505,1
ACH-001543,Head and Neck,WT_no_MBD4_record,Niraparib,False,False,-0.098761,0.964988,1
ACH-000930,Breast,WT_no_MBD4_record,Niraparib,False,False,-0.096068,0.951009,1
ACH-000881,Skin,WT_no_MBD4_record,Niraparib,False,False,-0.095913,0.952533,1
ACH-000848,Liver,WT_no_MBD4_record,Niraparib,False,False,-0.093378,0.926986,1
ACH-000651,Bowel,WT_no_MBD4_record,Niraparib,False,False,-0.091766,0.925962,1
ACH-001307,Thyroid,WT_no_MBD4_record,Niraparib,False,False,-0.07245,0.930388,1
ACH-001674,Peripheral Nervous System,WT_no_MBD4_record,Niraparib,False,False,-0.072088,0.965045,1
ACH-000835,Soft Tissue,WT_no_MBD4_record,Niraparib,False,False,-0.064244,0.941316,1
ACH-000589,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.048554,0.955788,1
ACH-000101,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.046564,0.990854,2
ACH-000183,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,-0.043678,0.990033,1
ACH-000955,Bowel,WT_no_MBD4_record,Niraparib,False,False,-0.042453,0.944568,1
ACH-000427,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,-0.041652,0.909878,1
ACH-000900,Lung,WT_no_MBD4_record,Niraparib,False,False,-0.03501,0.968187,1
ACH-000169,Soft Tissue,WT_no_MBD4_record,Niraparib,False,False,-0.028672,0.945176,1
ACH-000504,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-0.026483,0.934545,1
ACH-000469,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,-0.021522,0.945991,1
ACH-001333,Cervix,WT_no_MBD4_record,Niraparib,False,False,-0.018805,0.957541,1
ACH-000473,Bladder/Urinary Tract,WT_no_MBD4_record,Niraparib,False,False,-0.009235,0.958384,1
ACH-000111,Breast,WT_no_MBD4_record,Niraparib,False,False,0.000556,0.968171,1
ACH-001274,Soft Tissue,WT_no_MBD4_record,Niraparib,False,False,0.001509,0.949218,1
ACH-000142,Bladder/Urinary Tract,WT_no_MBD4_record,Niraparib,False,False,0.005723,0.963423,1
ACH-001704,Skin,WT_no_MBD4_record,Niraparib,False,False,0.008517,0.935242,1
ACH-000361,Liver,WT_no_MBD4_record,Niraparib,False,False,0.029969,0.961777,1
ACH-000410,Bone,WT_no_MBD4_record,Niraparib,False,False,0.030767,0.956988,1
ACH-000681,Lung,WT_no_MBD4_record,Niraparib,False,False,0.03878,0.944486,1
ACH-000849,Breast,WT_no_MBD4_record,Niraparib,False,False,0.048326,0.955546,1
ACH-000189,Kidney,WT_no_MBD4_record,Niraparib,False,False,0.063221,0.894187,1
ACH-000947,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,0.081521,0.95016,1
ACH-000395,Lung,WT_no_MBD4_record,Niraparib,False,False,0.0875,0.942885,1
ACH-000488,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,0.08793,0.975529,1
ACH-000800,Lung,WT_no_MBD4_record,Niraparib,False,False,0.089437,0.968706,1
ACH-000749,Lung,WT_no_MBD4_record,Niraparib,False,False,0.090823,0.963589,1
ACH-000334,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,0.092261,0.968289,1
ACH-000939,Uterus,WT_no_MBD4_record,Niraparib,False,False,0.105377,0.969225,1
ACH-000763,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,0.112861,0.991487,1
ACH-000401,Skin,WT_no_MBD4_record,Niraparib,False,False,0.118309,0.961663,1
ACH-000116,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,0.130977,0.957831,1
ACH-000905,Bladder/Urinary Tract,WT_no_MBD4_record,Niraparib,False,False,0.139957,0.955864,1
ACH-000655,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,0.167735,0.952152,1
ACH-000572,Skin,WT_no_MBD4_record,Niraparib,False,False,0.167868,0.964148,1
ACH-000192,Uterus,WT_no_MBD4_record,Niraparib,False,False,0.169833,0.942314,1
ACH-000570,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,0.174634,0.959067,1
ACH-000403,Bowel,WT_no_MBD4_record,Niraparib,False,False,0.179353,0.92025,1
ACH-000416,Lung,WT_no_MBD4_record,Niraparib,False,False,0.187505,0.966637,1
ACH-000704,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,0.191567,0.949842,1
ACH-000937,Lymphoid,WT_no_MBD4_record,Niraparib,False,False,0.192496,0.981189,1
ACH-000637,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,0.193223,0.918023,1
ACH-000535,Pancreas,WT_no_MBD4_record,Niraparib,False,False,0.194086,0.950615,1
ACH-000030,Lung,WT_no_MBD4_record,Niraparib,False,True,0.208872,0.957918,1
ACH-000730,Skin,WT_no_MBD4_record,Niraparib,False,False,0.210087,0.957638,1
ACH-000595,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,0.215638,0.956695,1
ACH-000456,Thyroid,WT_no_MBD4_record,Niraparib,False,False,0.219463,0.954177,1
ACH-000666,Lung,WT_no_MBD4_record,Niraparib,False,False,0.228928,0.927715,1
ACH-001702,Soft Tissue,WT_no_MBD4_record,Niraparib,False,False,0.232311,0.944468,1
ACH-000911,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,0.238223,0.952062,1
ACH-000601,Pancreas,WT_no_MBD4_record,Niraparib,False,False,0.247363,0.967663,1
ACH-000228,Head and Neck,WT_no_MBD4_record,Niraparib,False,False,0.249398,0.984185,1
ACH-000191,Thyroid,WT_no_MBD4_record,Niraparib,False,False,0.252103,0.967597,1
ACH-000530,Lung,WT_no_MBD4_record,Niraparib,False,False,0.253689,0.965773,1
ACH-000614,Skin,WT_no_MBD4_record,Niraparib,False,False,0.263518,0.967044,1
ACH-000548,Head and Neck,WT_no_MBD4_record,Niraparib,False,False,0.264985,0.95953,1
ACH-000738,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,0.283614,0.939499,1
ACH-000356,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,0.294518,0.944963,1
ACH-000248,Breast,WT_no_MBD4_record,Niraparib,False,False,0.295449,0.975535,1
ACH-001401,Adrenal Gland,WT_no_MBD4_record,Niraparib,False,False,0.297943,0.976986,1
ACH-000713,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,0.301391,0.961262,1
ACH-000667,Lung,WT_no_MBD4_record,Niraparib,False,False,0.301956,0.966346,1
ACH-000653,Lymphoid,WT_no_MBD4_record,Niraparib,True,False,0.301996,0.992832,1
ACH-000858,Lung,WT_no_MBD4_record,Niraparib,False,False,0.31784,0.96611,1
ACH-000249,Bowel,WT_no_MBD4_record,Niraparib,False,False,0.318115,0.921955,1
ACH-001398,Kidney,WT_no_MBD4_record,Niraparib,False,False,0.321416,0.956624,1
ACH-000776,CNS/Brain,WT_no_MBD4_record,Niraparib,False,True,0.323908,0.959456,1
ACH-000360,Bowel,WT_no_MBD4_record,Niraparib,False,False,0.326302,0.960927,1
ACH-000819,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,0.329689,0.971711,1
ACH-000231,CNS/Brain,WT_no_MBD4_record,Niraparib,False,False,0.343056,0.954112,1
ACH-000934,Breast,WT_no_MBD4_record,Niraparib,False,False,0.35721,0.977417,1
ACH-000935,Bowel,WT_no_MBD4_record,Niraparib,False,False,0.364151,0.973307,1
ACH-000475,Liver,WT_no_MBD4_record,Niraparib,False,False,0.366573,0.949971,1
ACH-000940,Uterus,WT_no_MBD4_record,Niraparib,False,False,0.366638,0.977344,1
ACH-000649,Kidney,WT_no_MBD4_record,Niraparib,False,False,0.368632,0.967073,1
ACH-000450,Skin,WT_no_MBD4_record,Niraparib,False,False,0.375447,0.971033,1
ACH-000847,Esophagus/Stomach,WT_no_MBD4_record,Niraparib,False,False,0.378518,0.984071,1
ACH-000790,Lung,WT_no_MBD4_record,Niraparib,False,False,0.390629,0.984597,1
ACH-000822,Skin,WT_no_MBD4_record,Niraparib,False,False,0.400412,0.951689,1
ACH-000337,Lung,WT_no_MBD4_record,Niraparib,False,False,0.408942,0.956492,1
ACH-000521,Lung,WT_no_MBD4_record,Niraparib,False,False,0.413925,0.952357,1
ACH-001641,Head and Neck,WT_no_MBD4_record,Niraparib,True,False,0.417535,0.955372,1
ACH-000621,Breast,WT_no_MBD4_record,Niraparib,False,False,0.422318,0.972915,1
ACH-000867,Lung,WT_no_MBD4_record,Niraparib,False,False,0.422643,0.977773,1
ACH-000811,Ovary/Fallopian Tube,WT_no_MBD4_record,Niraparib,False,False,0.431406,0.931909,1
ACH-000515,Lung,WT_no_MBD4_record,Niraparib,False,False,0.438213,0.98251,1
ACH-000159,Kidney,WT_no_MBD4_record,Niraparib,False,False,0.442034,0.956057,1
