ModelID,OncotreeLineage,mbd4_status,rnf_low_parp_high_expr_proxy,rnf_low_parp_high_proxy,parp_mean_z,parp_median_z,parp_mean_auc,parp_n
ACH-000957,Bowel,WT_no_MBD4_record,False,False,0.04698739999999999,-0.119665,0.9241692,5
ACH-000965,Uterus,WT_no_MBD4_record,False,False,0.06322139999999998,0.352944,0.961233,5
ACH-000322,Skin,WT_no_MBD4_record,False,False,0.07968739999999999,-0.112466,0.9679917999999998,5
ACH-000228,Head and Neck,WT_no_MBD4_record,False,False,0.080861,0.176457,0.9742416,5
ACH-000399,Lung,WT_no_MBD4_record,False,False,0.084654,-0.200305,0.9328723999999999,5
ACH-000778,Head and Neck,WT_no_MBD4_record,False,False,0.0865272,-0.140418,0.9571251999999999,5
ACH-001702,Soft Tissue,WT_no_MBD4_record,False,False,0.087257,0.232311,0.9164026,5
ACH-000343,Lung,WT_no_MBD4_record,False,False,0.0898144,-0.145281,0.9677264000000001,5
ACH-000075,CNS/Brain,WT_no_MBD4_record,False,False,0.09008100000000001,0.27309,0.9352680000000001,3
ACH-000934,Breast,WT_no_MBD4_record,False,False,0.09203140000000001,0.098336,0.973692,5
ACH-000958,Bowel,WT_no_MBD4_record,False,False,0.103904,0.084914,0.9201982000000001,5
ACH-000805,Skin,WT_no_MBD4_record,False,False,0.12175639999999999,0.12832,0.9429708,5
ACH-000855,Esophagus/Stomach,WT_no_MBD4_record,False,False,0.12544325,0.0385385,0.96189675,4
ACH-000174,Thyroid,WT_no_MBD4_record,False,False,0.1261262,0.236716,0.9293134000000001,5
ACH-000948,Esophagus/Stomach,WT_no_MBD4_record,False,False,0.13126,-0.024717,0.9526718000000001,5
ACH-000551,Myeloid,WT_no_MBD4_record,False,False,0.13298200000000002,-0.060094,0.976263,5
ACH-000315,Lymphoid,WT_no_MBD4_record,True,False,0.1337766,0.52659,0.9640618,5
ACH-001442,Skin,WT_no_MBD4_record,False,False,0.1359042,0.260735,0.9333736,5
ACH-000947,Ovary/Fallopian Tube,WT_no_MBD4_record,False,False,0.13677559999999997,0.081521,0.9271226,5
ACH-000814,Skin,WT_no_MBD4_record,False,False,0.1370088,0.193223,0.9396976,5
ACH-000693,Esophagus/Stomach,WT_no_MBD4_record,False,False,0.13714140000000002,0.183748,0.9816622,5
ACH-000667,Lung,WT_no_MBD4_record,False,False,0.14429799999999998,0.301956,0.9601424,5
ACH-000747,Lung,WT_no_MBD4_record,False,False,0.14567924999999998,0.2136165,0.9702850000000001,4
ACH-000914,Lymphoid,WT_no_MBD4_record,True,False,0.14832,0.189843,0.8977762,5
ACH-000248,Breast,WT_no_MBD4_record,False,False,0.150275,0.158048,0.9658016,5
ACH-000649,Kidney,WT_no_MBD4_record,False,False,0.1718306,0.300752,0.9591778,5
ACH-000111,Breast,WT_no_MBD4_record,False,False,0.1763032,0.000556,0.9783592000000001,5
ACH-000452,Esophagus/Stomach,WT_no_MBD4_record,False,False,0.17713399999999999,0.168015,0.9474334000000001,5
ACH-000691,Breast,WT_no_MBD4_record,False,True,0.1781666,0.338982,0.9858319999999999,5
ACH-000919,Esophagus/Stomach,WT_no_MBD4_record,False,False,0.182899,0.111364,0.9656321999999999,5
ACH-000859,Breast,WT_no_MBD4_record,False,False,0.19201680000000002,-0.160947,0.9779392,5
ACH-000447,Lung,WT_no_MBD4_record,False,True,0.1954748,0.114625,0.921301,5
ACH-000903,Thyroid,WT_no_MBD4_record,False,False,0.20002020000000004,0.307655,0.9488372,5
ACH-000221,Liver,WT_no_MBD4_record,False,False,0.200042,0.210279,0.9527834000000001,5
ACH-000643,Breast,WT_no_MBD4_record,False,False,0.20258339999999997,0.05293,0.9588844,5
ACH-000320,Pancreas,WT_no_MBD4_record,False,False,0.2030928,0.169297,0.9362275999999999,5
ACH-000142,Bladder/Urinary Tract,WT_no_MBD4_record,False,False,0.2044626,0.109912,0.9562386,5
ACH-000504,CNS/Brain,WT_no_MBD4_record,False,False,0.208033,0.097526,0.9414038,5
ACH-000441,Skin,WT_no_MBD4_record,False,False,0.2092406,0.637801,0.9565132000000001,5
ACH-000480,Liver,WT_no_MBD4_record,False,False,0.21221600000000002,0.101623,0.9581484,5
ACH-000955,Bowel,WT_no_MBD4_record,False,False,0.220559,-0.025399,0.9424032,5
ACH-000191,Thyroid,WT_no_MBD4_record,False,False,0.2205724,0.169215,0.9616868000000001,5
ACH-000879,Uterus,WT_no_MBD4_record,False,False,0.2228768,0.420884,0.9715146000000001,5
ACH-000910,Breast,WT_no_MBD4_record,True,False,0.2232818,0.463537,0.9624436,5
ACH-000341,Peripheral Nervous System,WT_no_MBD4_record,False,False,0.22497699999999998,0.25517650000000003,0.96628425,4
ACH-000969,Bowel,WT_no_MBD4_record,False,False,0.22504980000000002,0.224086,0.951471,5
ACH-000098,CNS/Brain,WT_no_MBD4_record,False,False,0.22577699999999998,0.051286,0.9602040000000001,5
ACH-000704,Ovary/Fallopian Tube,WT_no_MBD4_record,False,False,0.22857333333333332,0.191567,0.9308713333333333,3
ACH-000766,Lung,WT_no_MBD4_record,False,False,0.22873775000000002,0.1422235,0.95358725,4
ACH-000361,Liver,WT_no_MBD4_record,False,False,0.23743659999999997,0.029969,0.9736682,5
ACH-000536,Breast,WT_no_MBD4_record,False,False,0.24191060000000003,0.144969,0.9855892,5
ACH-000349,Breast,WT_no_MBD4_record,False,False,0.24312579999999998,0.286633,0.981058,5
ACH-000679,Esophagus/Stomach,WT_no_MBD4_record,False,False,0.2491058,0.341744,0.94533,5
ACH-000395,Lung,WT_no_MBD4_record,False,False,0.2540224,0.0875,0.94269,5
ACH-000008,Skin,WT_no_MBD4_record,False,False,0.2558438,0.109186,0.9501898000000001,5
ACH-000046,Kidney,WT_no_MBD4_record,False,False,0.2575708,0.079101,0.9306566000000001,5
ACH-000401,Skin,WT_no_MBD4_record,False,False,0.258004,0.202652,0.9546172,5
ACH-000522,Bladder/Urinary Tract,WT_no_MBD4_record,False,False,0.259038,0.239742,0.96035225,4
ACH-000882,Skin,WT_no_MBD4_record,False,False,0.2658582,0.197104,0.9769206,5
ACH-000260,Peripheral Nervous System,WT_no_MBD4_record,False,False,0.2672318,0.455641,0.9477914000000001,5
ACH-000363,Lymphoid,WT_no_MBD4_record,False,False,0.2673298,0.412978,0.9636435999999999,5
ACH-000457,Kidney,WT_no_MBD4_record,False,False,0.270796,0.48851,0.9333992,5
