driver,partner,mode,known,trust_tier,sanger_n_mut,sanger_n_wt,sanger_delta,sanger_p,sanger_fdr,sanger_d,L1_cohens_d_discovery,L1_fdr_discovery,sign_concordant,sanger_status,sanger_replicated
ARID1A,MRPL14,LOF,0.0,T3_reproduced_not_druggable,40,271,-0.05358601295564819,0.03669457114156069,0.04564446654194134,-0.34596839996933665,-0.6250437333223255,4.052405820202994e-06,True,tested,True
RB1,CCNE1,LOF,0.0,T3_reproduced_not_druggable,19,292,-0.21019207465541515,0.0016287183260976236,0.0038553440875246587,-0.7992632612696543,-0.6149544945951488,4.052405820202994e-06,True,tested,True
CDKN2A,FOSL1,LOF,,T3_reproduced_not_druggable,27,284,-0.30826379389520064,3.035673058153808e-05,0.00018230776778289267,-1.0420047767639284,-0.7681046919780931,4.186255968368554e-06,True,tested,True
PTEN,RICTOR,LOF,0.0,T3_reproduced_not_druggable,27,284,-0.15346324682926266,0.0014005663148930838,0.0035714441029773636,-0.6922069565263673,-0.706634227012754,4.52891144546023e-06,True,tested,True
EP300,CPOX,LOF,,T3_reproduced_not_druggable,41,270,-0.08824374959866768,0.021711706755661638,0.03355445589511344,-0.38615252683584816,-0.7583622873047011,5.273051449110944e-06,True,tested,True
BRAF,PEA15,ACT,,T3_reproduced_not_druggable,18,293,-0.15088367250793674,0.020529984506437785,0.03271966280713522,-1.1371132565435607,-1.3649899025076324,5.343543861661272e-06,True,tested,True
VHL,PAX8,LOF,0.0,T3_reproduced_not_druggable,3,308,,,,,-1.9361369824752952,6.327518352502503e-06,False,insufficient_n,False
ARID1A,WRN,LOF,0.0,T1_clinically_anchored,40,271,-0.532697738564956,1.4409668791547546e-09,7.348931083689248e-08,-2.0289380643317587,-1.715182048931948,6.615820554230271e-06,True,tested,True
TP53,KRTAP4-11,LOF,0.0,T3_reproduced_not_druggable,77,234,0.005219574739409705,0.6357025920378971,0.6616496366108725,0.02972996429004361,-0.5236884460819029,8.054240933224468e-06,False,tested,False
CDKN2A,EGFR,LOF,,T1_clinically_anchored,27,284,-0.15097081516658853,0.006562354112266908,0.012872309989446627,-0.363178477158043,-0.7235887485256806,1.5476001541517028e-05,True,tested,True
KMT2D,DHX29,LOF,,T3_reproduced_not_druggable,36,275,-0.07417823563411617,0.028646464586944437,0.03948566740362612,-0.3729552159352237,-0.5246705776639468,1.9104502731192056e-05,True,tested,True
PTEN,PIK3CB,LOF,1.0,T1_clinically_anchored,27,284,-0.13749561270405697,0.0006422096432129586,0.0020470432377413055,-0.7355035957302418,-0.8356906479632927,1.9660515150659816e-05,True,tested,True
ARID1A,RPL22L1,LOF,0.0,T3_reproduced_not_druggable,40,271,-0.21584268736389414,2.1546952215924452e-07,3.6629818767071567e-06,-1.2067193053648808,-1.0863758845028362,2.127463639032065e-05,True,tested,True
CDKN2A,ITGA3,LOF,,T3_reproduced_not_druggable,27,284,-0.09659097945301884,0.0322435273097984,0.04327420770525575,-0.5737324359797973,-0.7893561239508412,2.5003382823336776e-05,True,tested,True
EP300,MRPL33,LOF,,T3_reproduced_not_druggable,41,270,-0.014227889090562468,0.33304891929103253,0.3613935081668651,-0.1034572469699551,-0.5266266676928201,2.6579360604440786e-05,True,tested,False
KMT2D,WRN,LOF,,T1_clinically_anchored,36,275,-0.5075405192548278,6.479170993063038e-08,1.6521886032310747e-06,-1.8606818873925706,-1.481706404548078,2.6579360604440786e-05,True,tested,True
RB1,UBE2Q1,LOF,0.0,T3_reproduced_not_druggable,19,292,-0.09773989955858592,0.11882423729040226,0.13466746892912257,-0.5398878299184339,-0.7499959190959673,2.7582020087482948e-05,True,tested,False
PTEN,PARS2,LOF,0.0,T3_reproduced_not_druggable,27,284,-0.11885419281419263,0.0045533138271666804,0.00928876020742003,-0.6233395701481063,-0.5887767714101212,3.0155902765669066e-05,True,tested,True
CDKN2A,TUBB4B,LOF,,T2_reproduced_druggable,27,284,-0.18749453565386054,0.00010930678082784266,0.0005127281337290638,-0.7707151473515701,-0.6232229024929155,3.2789283626265805e-05,True,tested,True
STK11,HDAC4,LOF,0.0,T1_clinically_anchored,9,302,-0.14816640640953727,0.011712001045084427,0.021332573332118063,-1.2956431098421568,-1.3863898127140009,3.763942433171867e-05,True,tested,True
NRAS,N6AMT1,ACT,,T4_discovery_only,13,298,-0.030131318318089018,0.3210528959903802,0.35594994990237805,-0.1717786116962954,-0.694192351680044,4.705785736161016e-05,True,tested,False
EP300,WRN,LOF,,T1_clinically_anchored,41,270,-0.30455675145668815,0.0013496151237355053,0.0035714441029773636,-1.0137442333655342,-1.2558195943005497,5.281036970780271e-05,True,tested,True
ARID1A,ARID1B,LOF,1.0,T3_reproduced_not_druggable,40,271,-0.1725672360168751,0.00042940957902608924,0.0014599925686887034,-1.006547851455146,-0.9907926080828696,8.7817098472317e-05,True,tested,True
PTEN,HSD17B12,LOF,0.0,T3_reproduced_not_druggable,27,284,-0.11468612748584896,0.024434292630129233,0.035604254975331165,-0.5506234352811513,-0.767823312701695,0.0001045654195101,True,tested,True
PTEN,BRD2,LOF,0.0,T2_reproduced_druggable,27,284,-0.11083905033636526,0.018993356719101913,0.03228596616931877,-0.38346652944646115,-0.4842955427400512,0.0001146960522866,True,tested,True
PTEN,MTG1,LOF,0.0,T3_reproduced_not_druggable,27,284,-0.10161450007550482,0.0012634010408238,0.0035714441029773636,-0.7413297072988906,-0.5916068227435881,0.0001230299906389,True,tested,True
ARID1A,KRTAP4-11,LOF,0.0,T3_reproduced_not_druggable,40,271,0.013819346353612483,0.6686046503869809,0.6819767433947206,0.07873404679429342,-0.4895865013483486,0.0001346317791259,False,tested,False
SMARCA4,ATP5PO,LOF,0.0,T3_reproduced_not_druggable,11,300,-0.18261530839498458,0.03667767150767896,0.04564446654194134,-0.8797256509347587,-0.8571445169168975,0.0001492840418465,True,tested,True
SMARCA4,CIT,LOF,0.0,T3_reproduced_not_druggable,11,300,0.07710569894635422,0.8696831184731733,0.8696831184731733,0.2612596447769786,-0.6471557112729661,0.0001492840418465,False,tested,False
MTAP,MAT2A,CN_loss,True,T3_reproduced_not_druggable,0,0,,,,,,0.0005599547620969,False,na_cn,False
VHL,EPAS1,LOF,1.0,T2_reproduced_druggable,3,308,,,,,-2.0410093675279306,0.0043585510558422,False,insufficient_n,False
ARID1A,EZH2,LOF,1.0,T1_clinically_anchored,40,271,-0.030692201912768835,0.07203991085040651,0.08350080575842572,-0.1893188194700075,-0.2850335922619325,0.014116447739236,True,tested,False
SMARCA4,SMARCA2,LOF,1.0,T3_reproduced_not_druggable,11,300,-0.244387680085849,0.043755229102832464,0.05313134962486799,-1.338737343388407,-1.4186714141367571,0.014116447739236,True,tested,False
KRAS,STK33,ACT,1.0,T3_reproduced_not_druggable,65,246,0.0027590959965043405,0.4749580189509443,0.5046428951353783,0.02438655952234931,-0.2866620468775283,0.0251815217711646,False,tested,False
CCNE1,WEE1,CN_gain,True,T2_reproduced_druggable,0,0,,,,,,0.0370404813718001,False,na_cn,False
CCNE1,PKMYT1,CN_gain,True,T3_reproduced_not_druggable,0,0,,,,,,0.0370404813718001,False,na_cn,False
BRCA1,PARP1,LOF,1.0,T2_reproduced_druggable,9,302,-0.087607025557557,0.003978293539141281,0.008453873770675222,-0.8196462011860778,-0.4835506351003514,0.2528475928796491,True,tested,True
